Title,Location,Price,Time
INFINIX ZERO X PRO,"Hayatabad, Peshawar•","Rs 50,000",18 minutes ago
redmi note 12 pro,"Others, Sialkot•","Rs 80,000",19 minutes ago
iPhone 14 - Jv - Physical Sim,"Sahafi Colony Block E, Lahore•","Rs 155,000",18 minutes ago
Samsung A23,"North Nazimabad, Karachi•","Rs 35,000",19 minutes ago
iPhone X PTA Prove,"Muzafarabad, Multan•","Rs 54,500",19 minutes ago
iphone 8 for exchange or sale,"Bahria Town, Lahore•","Rs 22,000",19 minutes ago
iphone xsmax,"Saadi Town, Karachi•","Rs 66,500",19 minutes ago
XIAOMI REDMI NOTE 12 BOX PACK OFFICIAL WARRANTY REDMI 13C NOTE 13 PRO,"Allama Iqbal Town, Lahore•","Rs 42,500",1 week ago
"iPhone 14 Pro Max PTA Approved, 128GB","Askari 10, Lahore•","Rs 400,000",1 week ago
iPhone SE Non pta non active Jv water pack 10/10 condition,"Township, Lahore•","Rs 29,999",1 hour ago
iphone 13,"Allama Iqbal Town, Lahore•","Rs 115,000",3 weeks ago
Infinix Note 12 In 10/10 Condition With Orignal Charger.,"Johar Town, Lahore•","Rs 27,500",3 days ago
13 Pro Max Non PTA,"Gulberg 3, Lahore•","Rs 209,000",1 day ago
Redmi Note 5A,"Samanabad, Faisalabad•","Rs 9,000",19 minutes ago
Infinix hot 30 8/128 full box  warrant ma ha set,"Mumtazabad, Multan•","Rs 30,500",19 minutes ago
"moto turbo 2, 3 gb ram 32 gb ram use mobile phone sale best phone","North Nazimabad, Karachi•","Rs 6,500",20 minutes ago
11 pro max Non Pta Gold 10/10 waterpack 82 health,"Anarkali, Lahore•","Rs 115,000",20 minutes ago
infinix note 10 pro parts,"Westridge, Rawalpindi•","Rs 5,000",20 minutes ago
oppo a57  8 gb 256 gb,"Malikpur, Faisalabad•","Rs 28,000",20 minutes ago
vivo v20SE,"Shahdara, Lahore•","Rs 35,000",20 minutes ago
one plus 9R,"Dargah Bazar Road, Pakpattan•","Rs 80,000",20 minutes ago
vivo v19 8gb 128gb,"Korangi, Karachi•","Rs 26,000",20 minutes ago
Huawei p30 original phone,"Karim Park, Lahore•","Rs 53,999",20 minutes ago
iPhone x non pta 64gb,"Cheema Town, Bahawalpur•","Rs 35,000",21 minutes ago
iphone 7 plus 32gb Bypass,"Gulberg Town, Karachi•","Rs 23,000",21 minutes ago
Vivo Y20 4gb 64gb,"Mustafa Town, Lahore•","Rs 21,000",21 minutes ago
iphone 15 pro 256gb LLA Blue titanium JV Non-PTA With box Cable,"Gulberg 3, Lahore•","Rs 215,000",5 days ago
OPPO FIND X7 Ultra 16/256,"G-13, Islamabad•","Rs 308,000",2 days ago
iPhone 14 Pro Max 256GB factory locked,"M.A. Jinnah Road, Karachi•","Rs 205,000",1 day ago
